dataset,backbone,horizon,seq_len,epochs,batch_size,learning_rate,max_train_windows,max_eval_windows,device,n_val,n_test,prediction_path,adapter_mode,test_threshold_leakage,mse,mae,variant,method,model_label,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,status,blocker_reason,tail_len,learned_params
ETTm1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_DLinear_96_raw_no_correction.jsonl,raw_backbone,False,3.765589339089503,1.5001934510043702,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,DLinear,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_DLinear_192_raw_no_correction.jsonl,raw_backbone,False,4.684627553741467,1.6756782485994623,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,DLinear,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_DLinear_336_raw_no_correction.jsonl,raw_backbone,False,6.233620636168747,1.8927363894348956,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,DLinear,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_DLinear_720_raw_no_correction.jsonl,raw_backbone,False,8.487147204238395,2.20980954541837,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_PatchTST_96_raw_no_correction.jsonl,raw_backbone,False,2.741722386452103,1.275464471264787,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_PatchTST_192_raw_no_correction.jsonl,raw_backbone,False,3.8461956857213644,1.5206629015245328,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_PatchTST_336_raw_no_correction.jsonl,raw_backbone,False,5.0431692413173534,1.7456572323160846,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTm1,PatchTST,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTm1_PatchTST_720_raw_no_correction.jsonl,raw_backbone,False,6.8584768630903925,2.0301698782317903,raw_no_correction,raw_no_correction,PatchTST+raw_no_correction,0.0,0.0,completed,,,
ETTh1,DLinear,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTh1_DLinear_96_raw_no_correction.jsonl,raw_backbone,False,5.923652754174062,1.846013637331185,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
ETTh1,DLinear,192,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_l1_raw\ETTh1_DLinear_192_raw_no_correction.jsonl,raw_backbone,False,7.516271107088763,2.095036182830631,raw_no_correction,raw_no_correction,DLinear+raw_no_correction,0.0,0.0,completed,,,
